field,ra,dec
SPLUS-d277,122.7666667,-32.22916667
SPLUS-d278,124.425,-32.22916667
SPLUS-d279,126.0833333,-32.22916667
SPLUS-d280,127.7416667,-32.22916667
SPLUS-d281,103.1,-33.60916667
SPLUS-d282,104.7875,-33.60916667
SPLUS-d283,106.4791667,-33.60916667
SPLUS-d284,108.1708333,-33.60916667
SPLUS-d285,109.8583333,-33.60916667
SPLUS-d286,111.55,-33.60916667
SPLUS-d287,113.2375,-33.60916667
SPLUS-d288,114.9291667,-33.60916667
SPLUS-d289,116.6208333,-33.60916667
SPLUS-d290,118.3083333,-33.60916667
SPLUS-d291,120.0,-33.60916667
SPLUS-d292,121.6916667,-33.60916667
SPLUS-d293,123.3791667,-33.60916667
SPLUS-d294,125.0708333,-33.60916667
SPLUS-d295,126.7625,-33.60916667
SPLUS-d296,128.45,-33.60916667
SPLUS-d297,104.5708333,-34.98666667
SPLUS-d298,106.2875,-34.98666667
SPLUS-d299,108.0,-34.98666667
SPLUS-d300,109.7125,-34.98666667
SPLUS-d301,111.4291667,-34.98666667
SPLUS-d302,113.1416667,-34.98666667
SPLUS-d303,114.8583333,-34.98666667
SPLUS-d304,116.5708333,-34.98666667
SPLUS-d305,118.2875,-34.98666667
SPLUS-d306,120.0,-34.98666667
SPLUS-d307,121.7125,-34.98666667
SPLUS-d308,123.4291667,-34.98666667
SPLUS-d309,125.1416667,-34.98666667
SPLUS-d310,126.8583333,-34.98666667
SPLUS-d311,128.5708333,-34.98666667
SPLUS-d313,104.3458333,-36.3625
SPLUS-d314,106.0875,-36.3625
SPLUS-d315,107.825,-36.3625
SPLUS-d317,111.3041667,-36.3625
SPLUS-d318,113.0416667,-36.3625
SPLUS-d319,114.7833333,-36.3625
SPLUS-d320,116.5208333,-36.3625
SPLUS-d321,118.2625,-36.3625
SPLUS-d322,120.0,-36.3625
SPLUS-d323,121.7375,-36.3625
SPLUS-d324,123.4791667,-36.3625
SPLUS-d325,125.2166667,-36.3625
SPLUS-d326,126.9583333,-36.3625
SPLUS-d327,128.6958333,-36.3625
SPLUS-d328,130.4333333,-36.3625
SPLUS-d329,132.175,-36.3625
SPLUS-d330,104.6291667,-37.73611111
