Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
HW48,01 04 58,-73 38 15,C,0.65,0.65,,,HW 48,,,,,,,,,,,,,
"HW48,RZ151",,,,,,,,,01 04 58.5,-73 38 13,C,0.65,0.65,,8.4,GGK10,,,1.0,B18,HW48
HW49,01 05 57,-73 23 20,C,0.4,0.4,,,HW 49,01 05 57.0,-73 23 20,C,0.4,0.4,,,,,,1.0,B18,HW49
HW5,00 31 03,-72 20 35,C,0.55,0.55,,,HW 5,,,,,,,,,,,,,
"HW5,RZ8,OGLS 320",,,,,,,,,00 31 02.6,-72 20 26,C,0.55,0.55,,9.63,DKB+16,-1.28,DKB+16,1.0,B18,OGLE-CL SMC  320
HW50,01 06 03,-71 42 41,C,1.0,1.0,,,HW 50,,,,,,,,,,,,,
"HW50,BUS993",,,,,,,,,01 06 03.0,-71 42 41,C,1.2,1.2,,8.45,GGK10,,,1.0,B18,HW50
HW51,,,,,,,,,01 06 17.0,-74 38 12,AC,1.6,0.9,,,,,,1.0,B18,HW51
HW52,01 06 57,-73 14 09,C,0.5,0.5,,,HW 52,,,,,,,,,,,,,
"HW52,RZ160",,,,,,,,,01 06 57.0,-73 14 09,C,0.5,0.5,,8.15,"GGK10,MPS14",-0.88,PPV17,1.0,B18,HW52
HW53,01 06 58,-73 34 42,C,0.65,0.65,,,HW 53,,,,,,,,,,,,,
"HW53,RZ162",,,,,,,,,01 06 58.9,-73 34 41,C,0.65,0.65,,8.85,GGK10,,,1.0,B18,HW53
