id,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,ra,dec,ra_deg,dec_deg,Type,Category,Bestar
i06MC003806BTC,21.015348806381226,20.012706201553346,,,,,20.83291874217987,20.35408824157715,19.942816351890563,20.42316337966919,,20.075414487838746,75.61989214871063,-68.61956855911721,75.61999999999999,-68.61999999999999,Bpe,Classical,AL 56
i06MC0063034WV,15.726849983215331,16.073711650848388,15.613940979003907,15.499759651184082,15.531025299072265,15.553052696228029,15.716315517425539,15.75752898788452,16.217785312652587,15.868838787078857,15.595012054443359,16.25210887145996,74.98669421011707,-70.16068942155293,74.98766666666666,-70.16078055555556,B2Ve,Classical,[O96] D050NE-10
i06MC006303J43,13.476740310668944,13.728694145202638,13.25994289779663,13.22118515396118,13.270029071807862,13.296541484832765,13.437490089416503,13.17920316696167,13.856858943939208,13.525591300964354,13.201922054290772,13.871485458374025,74.97657390842544,-70.135149736888,74.97791666666666,-70.13533055555557,B0IIIe,Classical,[O96] D050NE-1b
i06MC00630595O,15.02863571166992,15.39325538635254,15.052920501708986,14.82688974380493,14.842000167846681,14.841909774780273,14.99879107284546,15.121295120239257,15.531463214874268,15.178957046508788,15.2306602973938,15.547534980773925,73.54970509670292,-69.99015372094891,73.54941666666666,-69.9901388888889,B2.2Ve,Classical,[O96] D025NE-5
i06s46s1900KKG,10.738711669921877,11.00937335205078,9.888512176513672,9.408523979187013,9.273529190063478,9.279751190185547,9.641866088867186,10.903806732177735,10.006706199645997,11.20489185333252,10.372881057739257,10.732270835876466,47.10860380381167,-59.37367137258881,47.10866666666666,-59.37371666666667,B9.5Vne,Classical,HD 19818
i06MC011603M66,19.754332544326783,19.004988143920897,20.853024178504945,20.643431783676146,19.82036178159714,19.932395339250565,19.548048181533815,19.169712056159973,18.99618911457062,19.20547756576538,21.12331202507019,18.803362421035768,19.906087199632275,-73.50197613139846,19.90670833333333,-73.5017,Be,Classical,RX J0119.6-7330
i06MC01160580D,15.464598747253419,15.66670541381836,15.280457227706908,15.267011554718017,15.280112110137939,,,,,15.52159400177002,15.221628376007079,15.882815433502198,17.785756769302967,-73.27951896562713,17.784999999999997,-73.2794,B1IVe,Classical,XTE J0111-7317
i06MC011605IRG,13.469776237487793,13.759040161132813,13.287882514953612,13.259476852416991,13.309564277648924,13.321618106842042,13.457291545867921,13.406275856018066,13.93461287689209,13.569873275756837,13.238893703460693,13.965418338775635,17.18433472799437,-73.24739633052427,17.184374999999996,-73.24731111111112,Be,Classical,AzV 437
i06MC009505G2T,14.306337295532227,14.855223209381105,14.041119899749756,14.041283840179442,14.100289642333983,14.136083786010744,14.352311927795409,14.544598438262941,15.042383888244629,14.589598731994627,14.072614933013917,15.080558712005615,17.03983953853931,-72.26583542559966,17.03983333333333,-72.26578055555555,Be,Classical,AzV 433
i06MC0095057NR,13.411604614257811,13.912724235534668,13.27036824798584,13.206286083221435,13.273144729614259,13.29919645690918,13.467179264068605,13.507380966186524,14.10601402282715,13.672328765869139,,14.124569713592528,16.526387406967633,-72.30097133349868,16.526916666666665,-72.30075,Be,Classical,AzV 397
i06MC009505WT4,20.291622247695923,20.43078064918518,,19.91350755739212,,20.463401665940882,20.604966687500475,20.484848696231843,20.646964201331137,20.318068279266356,20.949933176994325,20.982239258766175,16.28756574356426,-72.19519467499777,16.28708333333333,-72.19556111111112,Be,Classical,RX J0105.3-7210
i06MC009504MNF,15.17333335494995,15.438273719787599,15.009104152679445,14.986490970611573,15.040090900421141,15.058558895111084,15.16052854156494,15.090537437438964,15.612104362487791,15.283711986541746,15.04641658782959,15.633995933532717,16.147637927281924,-72.36347371071284,16.148,-72.36328055555555,Be,Classical,RX J0105.5-7221
i06MC009505S9J,15.7858208694458,,15.737004653930665,15.577927148818969,15.620299388885499,15.680975162506105,15.799522945404053,15.838589256286621,16.320846420288085,18.615573989868164,15.845721031188965,,16.089998871194215,-72.26172453290346,16.089999999999996,-72.26168888888888,Be,Classical,[M2002] SMC 59034
i06MC01150D22K,19.625006408691405,18.874457817077637,,19.631386347055436,19.914386353969572,20.136906559228898,19.504653038978578,19.083003690719604,18.81577359008789,19.205977235794066,20.903140538215638,18.83715840911865,16.031479869593067,-72.73336866865037,16.030791666666662,-72.73310000000001,Be,Classical,RX J0104.1-7244
i06MC009501LL8,19.66983763885498,18.860840372085573,20.06985193836689,,20.14553243625164,20.048552451848984,19.400612944602965,19.009376218795776,18.65912510871887,19.091328199386595,,18.68786716079712,16.03148238604153,-72.73331981617885,16.030791666666662,-72.73310000000001,Be,Classical,RX J0104.1-7244
i06MC009507NMB,14.674938148498534,14.932658931732178,14.556349056243896,14.404594635009765,14.500775634765624,14.561650310516356,14.673308303833007,14.559609146118163,15.158363143920898,14.771485496520995,14.459375747680664,15.171467353820802,16.007045029187907,-71.94316144278908,16.00695833333333,-71.9431888888889,Be,Classical,AzV 344
i06MC009503ITJ,,21.098744890213013,,,,,,,,21.214672569274903,,20.74170877742767,15.744637790226102,-72.4877301721051,15.745,-72.4875,B0Ve,Classical,[MLD95] SMC 31
i06MC01150C1Q3,14.174909591674805,14.401281120300293,14.036701850891113,13.96122385406494,14.072592803955079,14.063015174865722,14.171536750793457,14.004199520111083,14.588353302001952,14.248024612426757,14.040817539215087,14.595509963989258,15.663460718917543,-72.84911668726333,15.66325,-72.84903055555554,Be,Classical,AzV 308
i06MC009500KGH,14.196776679992677,14.414781860351564,13.910499011993409,13.948881649017334,14.051715515136717,14.073433963775635,14.174357097625734,14.020790840148926,14.591473670959473,14.251726371765137,13.928482219696043,14.609753604888915,15.663411837409017,-72.8491107043162,15.66325,-72.84903055555554,Be,Classical,AzV 308
i06MC0072011SW,14.285442726135255,14.484624992370605,14.23610245513916,14.184661514282226,14.181244720458984,14.213402431488039,14.312639717102051,13.960968502044679,14.699806175231934,14.355107810974122,14.120405239105224,14.716920768737793,15.529155571804084,-71.50100205986544,15.529166666666669,-71.50093888888888,Be,Classical,AzV 293
i06MC009505X3H,15.472579521179199,15.914211418151854,15.286941493988039,15.190476917266846,15.268493484497071,15.337127990722657,15.505181285858153,15.675306434631349,16.11040592956543,15.691587615966796,15.293170825958253,16.129758613586425,15.336097954816141,-72.18861516587718,15.336708333333329,-72.18860000000001,Be,Classical,RX J0101.3-7211
i06MC00940694U,15.445329154968263,15.8721710395813,15.272474147796633,15.189396884918214,15.229499870300295,15.289789115905762,15.451800956726075,15.621843112945555,16.04627099227905,15.665444290161133,15.254150047302247,16.09273683166504,15.336313464672669,-72.18855679811062,15.336708333333329,-72.18860000000001,Be,Classical,RX J0101.3-7211
i06MC0094042XF,15.27772745513916,15.665500175476073,15.245158977508545,15.178606910705568,15.22206707763672,15.277115997314453,15.402988121032713,15.294245971679686,15.848349571228027,15.4777290725708,15.18775062942505,15.770829166412355,15.177754842660326,-72.4159122576086,15.177541666666665,-72.41583055555556,Be,Classical,2dFS 1498
i06MC00940390W,14.374080177307128,14.82696784210205,14.208240337371826,14.160853786468508,14.190464767456056,14.262023147583008,14.429088569641113,14.613046421051024,15.025198936462402,14.603475074768067,14.164005092620851,15.089320148468019,15.17500986158776,-72.50803018932334,15.174791666666664,-72.50796944444444,Be,Classical,AzV 256
i06MC01150D0D8,14.709771133422851,15.122630214691164,14.522169284820556,14.405283672332764,14.553937793731688,14.546058948516844,14.713934062957765,14.8382551612854,15.287521610260011,14.873213752746583,14.645085353851318,15.289068843841552,14.842378283657126,-72.75368157248553,14.842291666666664,-72.75353055555556,Be,Classical,AzV 228
i06MC009404HJD,,,15.342271728515627,15.227897663116455,15.267702476501466,15.31758334350586,15.526893550872803,,16.262633800506592,,15.42271198654175,16.2859305267334,14.809794792063949,-72.37934825521148,14.809791666666664,-72.37921944444444,B8Ve,Classical,2dFS 1373
