id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,OGLE-II,OGLE-III,OGLE-IV,ura,udec
i06MC0065047O7,83.25747361884878,-70.07492508748388,16.044765762329103,16.457236961364746,15.987668601989746,15.873286872863769,15.8508491897583,15.86932777404785,16.028231758117677,16.192945709228514,16.618646507263183,16.26691757965088,16.112681015014648,16.608709411621092,LMC_SC1_44726,LMC169.1.231,LMC516.12.12513,83.25738,-70.075
i06MC006505FRH,83.16674344223055,-69.9693525312598,14.530850845336914,14.28924156188965,15.335733024597168,14.996783882141113,14.642161407470702,14.581538429260252,14.397523178100585,14.30979037475586,14.278405708312988,14.312756912231446,16.2417299118042,14.22255633544922,LMC_SC1_59257,LMC169.2.16,LMC516.12.102509,83.16662,-69.96936
i06MC006505GIN,83.169860314152,-69.95492260505279,16.635276275634766,17.114756355285646,16.64959415626526,16.454753547668457,16.42021183013916,16.44187759399414,16.618012535095215,16.950288940429687,17.279257743835448,16.853152503967284,16.831399139404297,17.28893588256836,LMC_SC1_59479,LMC169.2.459,LMC516.12.102840,83.16979,-69.95497
i06MC006505OYC,83.26431126168411,-69.92913102109088,17.00251567840576,16.94868160247803,17.230649559020996,17.033075004577636,16.931708374023437,16.9236462020874,16.907255683898924,16.904272247314452,16.94575552368164,16.925240600585937,17.37155422973633,16.915206176757813,LMC_SC1_59562,LMC169.2.2223,LMC516.12.43155,83.26479,-69.92903
i06MC006505NMO,83.2634767834698,-69.93114894827168,17.301802520751952,17.671981582641603,17.390472261428833,17.187443405151367,17.124561347961425,17.123148193359373,17.237753425598143,17.52372663116455,17.775805038452148,17.452858055114746,17.650683807373046,17.75457022857666,LMC_SC1_60022,LMC169.2.648,LMC516.12.43818,83.26342,-69.93114
i06MC006505ZGZ,83.23773057110854,-69.89897925315388,16.310241180419922,16.459934410095215,16.292703954696655,16.206252723693847,16.182836570739745,16.19483589172363,16.257386573791504,16.278841850280763,16.60991229248047,16.34993055725098,16.285476684570312,16.59296002960205,LMC_SC1_66546,LMC169.2.73657,LMC516.21.90,83.23783,-69.89903
i06MC00650671V,83.13598711804572,-69.87659946980138,17.973317321777344,17.613158401489258,18.584969727516174,18.261763244628906,18.059092082977294,18.0633847618103,17.856222778320312,17.652074951171876,17.59460171508789,17.713307838439942,18.96370421218872,17.52396686553955,LMC_SC1_67127,LMC169.2.73807,LMC516.21.46200,83.13662,-69.87653
i06MC006506RM5,83.26887828655364,-69.8430865687332,16.610365203857423,16.69573801422119,16.636648712158202,16.48915676879883,16.491493927001954,16.488333930969237,16.5404436416626,16.401561614990236,16.82426530456543,16.600220329284667,16.61585514831543,16.80990281677246,LMC_SC1_73155,LMC169.2.73684,LMC516.21.11873,83.26862,-69.84294
i06MC006506JK0,83.18812365578037,-69.84805877651992,17.099090606689455,17.48005884552002,17.118589126586915,16.96478385925293,16.90359376525879,16.917934646606444,17.053386360168457,17.233017654418944,17.60321775817871,17.273406082153322,17.319205047607422,17.585687309265136,LMC_SC1_73390,LMC169.2.73924,LMC516.21.57927,83.18825,-69.84808
i06MC006506VTW,83.15506638197192,-69.81098962846663,18.032748252868654,18.3008062210083,18.41825228214264,18.075432865142822,17.94544683074951,17.887052764892577,18.01499510192871,18.203860420227052,18.254574310302733,18.127029876708985,18.79650022125244,18.365560607910155,LMC_SC1_74749,LMC169.3.1020,LMC516.21.60097,83.15529,-69.81111
