OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc4_418216,P,0.24,0.9,0.104,4.9,3
lmc_sc4_427351,P,0.134,0.362,0.052,6.3,3
lmc_sc4_436093,E,0.413,1.0,0.207,0.0,1
lmc_sc4_436431,P,0.322,0.833,0.155,6.7,3
lmc_sc4_444347,P,0.18,0.488,0.311,8.2,3
lmc_sc4_44871,P,0.25,0.938,0.414,9.1,3
lmc_sc4_45068,P,0.51,1.0,0.673,0.0,1
lmc_sc4_460520,P,0.439,1.0,0.621,0.0,1
lmc_sc4_460582,P,0.322,0.911,0.155,15.0,3
lmc_sc4_461402,P,0.07,0.235,0.0,4.0,2
lmc_sc4_467849,P,0.265,0.515,0.362,14.0,3
lmc_sc4_474872,P,0.0,0.784,0.0,3.7,2
lmc_sc4_480264,P,0.689,1.0,0.569,0.0,1
lmc_sc4_53685,P,0.281,1.0,0.052,0.0,1
lmc_sc4_62528,P,0.285,0.955,0.362,12.1,3
lmc_sc4_62638,P,0.701,0.995,0.207,0.0,1
lmc_sc4_62735,P,0.401,0.913,0.259,5.3,3
lmc_sc4_63674,P,0.352,0.933,0.104,5.0,3
lmc_sc4_71567,P,0.442,1.0,1.139,0.0,1
lmc_sc4_71632,P,0.279,1.0,0.208,0.0,1
lmc_sc4_80688,P,0.387,0.947,0.052,7.7,2
lmc_sc4_89838,P,0.001,0.017,0.052,5.3,3
lmc_sc4_89878,P,0.22,0.783,0.155,7.9,3
lmc_sc4_98158,P,0.109,0.446,0.107,8.0,3
lmc_sc5_112858,P,0.584,1.0,0.983,0.0,1
lmc_sc5_138143,P,0.677,1.0,0.465,0.0,1
lmc_sc5_153134,P,0.382,0.769,1.241,14.9,3
lmc_sc5_169451,P,0.19,0.926,0.258,7.3,3
lmc_sc5_169994,P,0.573,0.962,0.362,7.0,3
lmc_sc5_177755,P,0.675,1.0,0.258,0.0,1
lmc_sc5_177870,P,0.273,1.0,0.517,0.0,1
lmc_sc5_193995,P,0.375,0.643,0.775,7.8,3
lmc_sc5_201284,P,0.533,0.998,0.103,19.4,2
lmc_sc5_201444,P,0.239,0.569,0.104,5.9,3
lmc_sc5_208438,P,0.404,1.0,1.087,0.0,1
lmc_sc5_208467,P,0.134,0.685,1.137,8.7,3
lmc_sc5_220870,P,0.718,1.0,0.621,0.0,1
lmc_sc5_251803,P,0.089,0.364,0.0,4.7,2
lmc_sc5_258975,P,0.673,1.0,1.344,0.0,1
lmc_sc5_259160,P,0.49,0.842,0.207,5.6,2
lmc_sc5_267240,P,0.234,0.98,0.052,6.5,3
lmc_sc5_275395,P,0.425,0.946,0.414,7.4,3
lmc_sc5_275806,P,0.155,0.57,0.0,3.3,2
lmc_sc5_300399,P,0.494,1.0,0.517,0.0,1
lmc_sc5_300613,P,0.177,0.936,0.414,0.0,1
lmc_sc5_307928,P,0.657,1.0,0.537,0.0,1
lmc_sc5_308062,P,0.674,1.0,0.62,0.0,1
lmc_sc5_308240,E,0.192,0.91,0.155,5.4,3
lmc_sc5_315438,P,0.676,1.0,0.93,0.0,1
lmc_sc5_322042,P,0.611,1.0,0.517,0.0,1
lmc_sc5_322119,P,0.17,1.0,0.0,0.0,1
lmc_sc5_322454,P,0.24,0.935,0.103,4.4,3
lmc_sc5_322667,P,0.825,1.0,0.052,0.0,1
lmc_sc5_327785,P,0.863,1.0,0.31,0.0,1
lmc_sc5_328219,P,0.346,0.96,0.103,2.9,3
lmc_sc5_333150,P,0.127,0.415,0.362,7.5,3
lmc_sc5_343095,P,0.251,0.916,1.861,7.1,3
lmc_sc5_349517,P,0.033,0.79,0.414,8.8,3
lmc_sc5_356805,P,0.332,1.0,0.155,0.0,1
lmc_sc5_372148,E,0.394,0.924,0.62,9.1,3
lmc_sc5_381443,P,0.351,0.773,0.0,6.9,2
lmc_sc5_399410,P,0.713,1.0,0.414,0.0,1
lmc_sc5_408016,P,0.096,0.763,0.258,6.3,3
lmc_sc5_408316,P,0.096,0.882,1.241,7.9,3
lmc_sc5_41358,P,0.475,1.0,0.207,0.0,1
lmc_sc5_41636,P,0.173,0.865,0.104,5.8,3
lmc_sc5_425099,P,0.197,0.53,0.09,4.5,3
lmc_sc5_432773,P,0.327,0.935,0.827,15.4,3
lmc_sc5_432802,P,0.675,0.986,0.414,0.0,1
lmc_sc5_432818,P,0.142,0.828,0.207,7.1,3
lmc_sc5_432873,P,0.135,0.49,0.052,5.9,2
lmc_sc5_433579,P,0.108,0.286,0.155,4.6,3
lmc_sc5_439968,P,0.588,1.0,0.362,0.0,1
lmc_sc5_440120,P,0.587,1.0,0.775,0.0,1
lmc_sc5_446214,P,0.458,1.0,0.155,0.0,1
lmc_sc5_451502,P,0.127,0.857,0.052,7.5,3
lmc_sc5_49760,P,0.244,0.911,1.139,0.0,1
lmc_sc5_51873,P,0.276,0.878,0.155,3.3,3
lmc_sc5_58231,P,0.633,1.0,0.776,0.0,1
lmc_sc5_58309,P,0.313,1.0,0.493,0.0,1
lmc_sc5_58466,P,0.116,0.714,0.155,5.7,3
lmc_sc5_58478,P,0.44,1.0,0.155,0.0,1
lmc_sc5_58614,P,0.282,1.0,0.104,0.0,1
lmc_sc5_67181,P,0.728,1.0,0.311,16.5,3
lmc_sc5_67382,P,0.172,0.354,0.259,0.0,1
lmc_sc5_67415,P,0.675,1.0,0.104,0.0,1
lmc_sc5_67423,P,0.601,0.99,0.155,0.0,1
lmc_sc5_67513,P,0.756,1.0,0.052,0.0,1
lmc_sc5_68130,E,0.495,0.931,0.052,0.0,1
lmc_sc5_84541,P,0.682,0.998,1.967,0.0,1
lmc_sc5_84582,P,0.697,0.995,0.466,0.0,1
lmc_sc5_84597,P,0.475,1.0,0.983,0.0,1
lmc_sc5_84696,P,0.3,0.799,0.932,0.0,1
lmc_sc5_84886,P,0.295,0.952,0.259,0.0,1
lmc_sc5_84982,P,0.104,0.881,0.052,0.0,1
lmc_sc5_92610,P,0.415,0.977,0.88,0.0,1
lmc_sc5_92678,P,0.424,0.977,0.155,0.0,1
lmc_sc5_92789,E,0.336,0.992,0.569,12.6,3
lmc_sc5_93385,P,0.902,1.0,0.104,0.0,1
lmc_sc5_95972,P,0.198,0.842,0.09,0.0,1
lmc_sc6_102512,P,0.339,0.953,1.036,0.0,1
lmc_sc6_102544,P,0.414,0.979,0.932,12.3,2
lmc_sc6_102620,P,0.287,0.668,0.259,0.0,1
lmc_sc6_118239,P,0.741,1.0,0.259,0.0,1
lmc_sc6_125018,E,0.348,0.91,0.104,16.1,3
lmc_sc6_149043,P,0.665,1.0,0.673,0.0,1
lmc_sc6_155977,P,0.692,1.0,0.311,0.0,1
lmc_sc6_156006,P,0.188,0.984,0.88,0.0,1
lmc_sc6_162736,P,0.607,1.0,0.828,0.0,1
lmc_sc6_162813,P,0.476,0.909,0.673,0.0,1
lmc_sc6_162833,P,0.13,0.831,0.104,0.0,1
lmc_sc6_162963,P,0.24,0.917,0.207,10.3,3
lmc_sc6_170508,P,0.593,1.0,0.414,0.0,1
lmc_sc6_178983,P,0.503,1.0,0.362,0.0,1
lmc_sc6_179053,P,0.461,0.936,0.776,0.0,1
lmc_sc6_179378,P,0.443,0.884,0.311,0.0,1
lmc_sc6_187916,P,0.289,0.847,0.269,0.0,1
lmc_sc6_187965,P,0.386,0.957,0.725,0.0,1
lmc_sc6_196696,P,0.36,0.461,0.311,0.0,1
lmc_sc6_207445,P,0.139,0.307,0.134,0.0,1
lmc_sc6_222479,P,0.609,1.0,0.518,0.0,1
lmc_sc6_248167,P,0.357,0.95,1.087,0.0,1
lmc_sc6_248305,P,0.232,0.835,0.155,0.0,1
lmc_sc6_260782,P,0.266,0.719,0.776,0.0,1
lmc_sc6_267434,P,0.189,0.543,0.362,0.0,1
lmc_sc6_274041,P,0.172,0.912,0.362,0.0,1
lmc_sc6_274068,E,0.125,0.966,0.155,12.5,3
lmc_sc6_280618,P,0.709,0.982,0.414,0.0,1
lmc_sc6_287589,P,0.338,0.988,1.294,15.4,3
lmc_sc6_288258,P,0.131,0.975,0.053,0.0,1
lmc_sc6_296029,P,0.534,0.99,0.569,14.2,3
lmc_sc6_304946,P,0.457,0.835,0.311,0.0,1
lmc_sc6_304970,P,0.139,0.932,0.104,0.0,1
lmc_sc6_305129,P,0.007,0.299,0.09,0.0,1
